time:2023-06-02 17:51:01, log_content:generating version:autra_train_v2.13/, !
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156308465664-1660895739110.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156047108096-1660898354710.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156728164352-1660898511827.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155766876160-1660897759427.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155789158400-1660895677827.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156816762880-1660896513110.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156405446656-1660895640510.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155933861888-1660898571429.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156149331968-1660898576110.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156453955584-1660895744810.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129567424512-1661312624710.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129095821312-1661312673910.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129037101056-1661314210929.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156082765824-1660897910110.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156513974272-1660896598327.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156312909824-1660898327520.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156210161664-1660898522328.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155869118464-1660895777227.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156604164096-1660895801410.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156435867648-1660897877110.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155938568192-1660895672410.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129494530048-1661312621427.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129513684992-1661312627320.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156746758144-1660896910010.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156032940032-1660896495627.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156823304192-1660896022910.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129350887424-1661312989028.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155929149440-1660897331910.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129552744448-1661313675627.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156280160256-1660898095827.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156819128320-1660896350420.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156002281472-1660896884810.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156509792256-1660895835420.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129270939648-1661312759128.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156021948416-1660895649727.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129250998272-1661312622310.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156777703424-1660898541510.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155626897408-1660895859910.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156263364608-1660898391427.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156003842048-1660896577310.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129382612992-1661313120210.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129237366784-1661312725320.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155842635776-1660895647710.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156261541888-1660896802327.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536128992012288-1661313735510.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155964782592-1660896042710.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129599137792-1661312635028.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536128987299840-1661312658410.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129612494848-1661312907710.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156138584064-1660898198228.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129341700096-1661313674410.bin!
